Compound	toxicity	score	n_refs	pubmed_ids
Carbendazim	neurotoxicity	1.92	4	35312909,24912478,32829211,35513110
Carbendazim	hepatotoxicity	3.04	6	29086361,22077925,12220588,20553011,20843939,32194361
Carbendazim	immunotoxicity	4.43	3	27429139,25304545,26055223
Carbendazim	hematotoxicity	6.07	2	26673969,29086361
Carbendazim	nephrotoxicity	0.68	2	35705592,22069658
Carbendazim	genotoxicity	4.46	31	9804902,2689881,10567038,25743750,23062944,9568594,27349362,32829211,22561174,27942789,22982763,26370277,31940143,18626565,35929398,34844488,29564638,3280996,16930478,20872852,17456508,21868589,25868127,25733076,29086361,30204902,21430913,21356328,33217513,18854579,12676452
Fluazifop	nephrotoxicity	4.32	1	27378613
Fluazifop	hepatotoxicity	5.10	1	27378613
Dexamethasone	nephrotoxicity	-0.44	50	2105730,32302426,22206804,11044214,22777758,12565761,16476458,2778481,18452093,11843810,31728828,12172973,7727868,20709662,26116178,16080557,22039089,1353189,1450070,9635927,24759015,6891726,28614905,32273476,20300971,22919026,16567030,11072052,11134544,15377151,33441518,31563974,28374163,21515102,11762817,26287374,3963845,35016879,10609804,1947446,21387773,16860177,22920645,21703556,26290372,3429979,9506681,12877352,19879934,29209721
Dexamethasone	cardiotoxicity	0.37	43	7941437,9949295,26670611,10679801,36809482,25023062,36418322,12412170,11553267,29056132,2664841,23141520,9724317,17325706,20872958,17514772,32259461,25398836,1711934,17635642,15709217,10966172,27761848,20496998,15102937,15161947,36206134,35927182,36085425,29973446,32866432,19596060,2689821,16805825,12173332,7871966,3960084,19800909,30060709,34450495,26913398,29728700,21681734
Dexamethasone	hematotoxicity	1.69	7	14752578,9869200,27983764,26693800,28042138,10194545,8555471
Dexamethasone	ototoxicity	2.79	61	23202157,15064639,19041513,17967639,18716567,29993216,29197586,17898673,29689410,2537872,33666428,26830667,19442713,9055175,26789647,31239676,26375980,36499206,19013865,21521888,16625551,17478213,19289700,14025153,24841915,22907029,24233060,31812471,15453532,10753434,12117531,31531774,34100744,18818545,30532536,34967280,27845826,20300971,18838114,30974336,31160205,29160374,8455060,31569969,28213099,28636736,21572077,24762042,26485588,24093464,36536939,6384162,26971701,32273476,26564118,27898607,6076138,22947376,7979004,22884636,24618499
Dexamethasone	neurotoxicity	1.16	172	19526038,24523910,7729802,18024372,17209054,19708032,8104320,6384162,8780045,23687982,24861981,15773051,23832430,23688838,16724577,7597145,24166587,11726728,24686045,23894578,17437241,22364526,27866096,21243395,18310533,12426685,27906952,22546346,23698496,15068314,18070713,34725500,33078986,8635566,9217082,10233375,33314568,14597744,27571129,1379841,28130818,12685831,22012966,32593455,7512506,17938425,11464982,21245421,7107353,31200328,31068561,1381940,35132679,11299847,16129520,29499248,21453761,7824546,33713967,19602844,27132696,12057095,8094795,21699468,32954433,10626948,8593572,17594344,17724360,24064060,12720151,11990514,21640799,11743984,16757429,8757846,19158148,7063571,28394848,33512026,9761426,9021756,6696821,7426903,16777341,27816694,4066227,8490825,9413254,28628558,34388022,22961473,8697399,10678756,24947495,11380234,26873551,9007130,29436137,22048647,8911675,17133953,20038443,20336484,25426952,6245744,27155536,15693790,24107130,27052459,17924208,17654660,3940623,30796199,15380328,26956432,19878709,19738521,26952122,18468644,15138347,8787853,28614773,9128164,23816834,7798922,10386988,36708469,18782177,30229385,9738568,25891006,9840720,22585692,19800909,34655168,21986892,12942571,20121554,11865628,25132599,11843810,33338551,19164857,22341215,19020190,6480455,18191947,25655468,34627953,36075474,12044505,23416428,25665056,17617780,1902547,1637134,29524569,8613810,9225955,11929036,25856078,15849376,22237944,2882837,12601542,20572029,29064068,23581876,30888577,22312247,24534592
