chem_name,tox_class,score,n_refs,ref_list,ptx_code
(-)-Nicotine,neurotoxicity,1.95,145,"14602824,17434679,3491964,7841389,24325902,10799646,8848122,23015319,12850578,19815060,22248034,19924585,14757701,7915317,11747119,32961088,29225110,25904345,35650526,30247698,1521037,19077054,7718248,21884524,9832142,32343976,10771022,26403687,34274434,17412429,27401341,34502498,7881731,21899407,17805420,12052660,1936899,23639433,9067314,11430869,36053669,29881944,22393406,19268529,17192628,11424902,11278378,1369662,9080439,29947270,21971502,20132834,27816694,15963341,15088078,32766841,34628512,19270530,11687723,28608236,20599831,9587789,11044750,19250334,24481039,34563623,8911675,11044749,26001208,12106613,15236950,11230873,14741763,9098543,3572794,11956957,9521812,26271887,22300030,30557592,12689604,19063881,15039772,10665983,22320303,27374167,25815723,10837795,11045868,25510202,2662858,20097188,37084603,22253754,9774223,28082123,25262246,31887290,34186153,17174071,1445501,7912481,15707677,22528249,3266524,32145355,20882638,11230875,14976347,26085346,29161446,14615005,15332118,16627626,18188741,22348963,9776381,10751565,11772120,34119664,34229355,19714494,26990785,15935216,16417037,9503263,35229877,25944383,1396992,19275211,27123921,27888120,28342135,10073332,32866996,33108618,16280603,35150755,11230874,16237857,8602898,27782041,12050852,29770521,21756931",PTX036
"1,2,4-Tribromobenzene",hepatotoxicity,8.52,2,"22476434,9456081",
"1,2-Diphenylhydrazine",genotoxicity,4.23,1,22619628,
"1,3-Diphenylguanidine",genotoxicity,4.01,1,35739694,PTX224
"1-(1-(4,4-bis(4-fluorophenyl)butyl)-4-piperidinyl)-1,3-dihydro-2H-Benzimidazol-2-one",cardiotoxicity,3.19,12,"36181876,10908518,16489111,2880980,24194433,11721647,22033499,11377395,24052561,17636692,9951426,21234705",PTX140
1-Methylimidazole,genotoxicity,0.79,1,31004823,PTX017
17alpha-Ethinylestradiol,hepatotoxicity,2.4,37,"2877750,20843939,21147608,30983430,25064622,22795685,26717202,411942,21976823,8508512,22931300,6625765,675718,36329302,16926038,17108234,24440342,20829430,24989642,20549615,27344345,17420222,18672579,27765674,20553011,26881866,22271975,24383869,22331495,841578,25051504,1190830,28778767,6133380,27381300,16606610,23956101",PTX107
17beta-Trenbolone,genotoxicity,3.56,12,"21621635,17764006,11398999,3058090,1952761,1952760,3090982,2817734,31706722,18069048,1952759,3288174",PTX123
"1H-1,2,4-Triazole",neurotoxicity,2.31,6,"22125954,35179861,30316046,22958416,31708184,25675400",PTX172
"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether",neurotoxicity,5.41,45,"31837853,27090441,28764964,22710639,21106467,20546880,19380496,22750351,19535737,34655032,25462306,31161897,21182867,28849509,24433068,21284075,34632857,26519795,31468459,21245014,24239914,29407791,27256741,28189061,29151189,19948212,20581093,35243576,21995789,19526529,36584763,28649046,28104350,18367248,36566971,34166751,31468447,21241598,19465108,31468451,24834073,28880749,24317228,21807586,35950316",
"2,2',6,6'-Tetrachlorobisphenol A",neurotoxicity,4.5,2,"23959441,31332466",
"2,3,4,6-Tetrachlorophenol",genotoxicity,2.95,18,"15273643,17016033,18996569,21466913,12851116,16406784,17560139,22365369,21565491,16876042,16170472,22345990,18939895,14700526,15829890,11423340,17306613,15513822",
"2,4,4'-Trichlorobiphenyl",genotoxicity,4.37,3,"15093247,30443001,29318322",PTX073
"2,4-Dichlorophenoxyacetic acid",genotoxicity,4.59,68,"15649642,10477357,12504171,26757743,15386085,34736209,28132076,11113700,22876750,16169061,11815249,34896630,10350602,19563251,10477358,20196147,2761564,11498271,12547631,10406894,7460089,30228061,31987841,36525191,10943490,9216788,15920753,33006436,25734764,16216628,12438013,8625958,35112655,12798768,33753236,33268674,2517189,17540612,7694145,33412448,26950899,34626751,17606385,35191690,15158562,31873893,24279814,2086312,3409877,34705933,33865541,10477356,20797789,11131037,17372986,11423340,35794326,12113764,14644350,12210542,17185266,21768606,11996139,21637697,11827288,11522373,15922807,21637555",PTX225
"2,5-Diaminotoluene sulfate",genotoxicity,5.01,2,"8685904,24275315",PTX064
2-(4-Chloro-2-methylphenoxy)acetic acid,genotoxicity,2.88,6,"18996569,7460089,15625068,17185266,9060376,24279814",PTX226
2-Aminophenol,genotoxicity,2.5,4,"15513822,15962942,21946300,24275645",PTX068
2-Butoxyethanol,genotoxicity,4.16,7,"8482587,6499795,21217841,9372852,9450478,25820171,20727169",PTX045
2-Methylimidazole,genotoxicity,3.27,1,24401039,PTX016
3'-Azido-3'-deoxythymidine,genotoxicity,2.09,69,"17358028,17503660,14981156,29427970,29206312,15313587,24568202,18721840,23559464,17167716,23621933,25344158,12794551,12189183,17358027,18366095,21704725,11058153,25513819,15215330,18291603,9186571,2136564,14743340,35843342,23811826,17358030,15013700,25073973,22293411,26212296,14630359,7954472,21078813,16165166,23261680,8921317,21145792,25635584,34510228,10961609,11917235,30545272,30208744,9701368,9362158,18295533,23811827,24833597,15708581,7510839,20407220,10517977,16850453,1799278,10935684,10774814,27777322,1915312,27806085,10526209,23142536,16395695,17358032,22217549,15890415,21637587,27931817,18206198",PTX160
"3,3',5,5'-Tetrabromobisphenol A",neurotoxicity,5.36,44,"27239688,28970181,25955755,36272602,25224521,25253649,27055180,35640788,33647619,36442598,31744693,32402876,34420170,31332466,21820030,32933740,32108298,33969458,20582854,23959441,23238473,33099281,31758204,36113845,24726928,28919410,30769291,36592678,22750351,34587401,28851516,19463927,31704520,30317443,25711236,35843329,33780780,27592553,25456217,30830211,29406119,24132472,35950316,31351299",PTX159
"4,4'-Sulfonyldiphenol",neurotoxicity,4.51,17,"32927158,32882496,30243188,31301325,30953899,32911243,36041494,34597708,33749030,30447611,36520979,30772709,29909315,33949917,33182117,34748853,31332466",
"4,4'-Thiodiphenol",genotoxicity,6.23,2,"19887514,26916392",
"4,5-Dihydro-2-mercaptoimidazole",genotoxicity,3.46,6,"24972111,12063071,9465935,7511791,7529355,9268046",PTX032
"4-(4-{4-[4-({2-(2,4-Dichlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]-1,3-dioxolan-4-yl}methoxy)phenyl]piperazin-1-yl}phenyl)-2-(3-hydroxybutan-2-yl)-2,4-dihydro-3H-1,2,4-triazol-3-one",neurotoxicity,3.06,1,9023642,PTX164
4-Methylimidazole,genotoxicity,4.53,6,"26634952,32745573,24401039,28140688,34174380,26765635",PTX015
"5,5-Diphenylhydantoin",neurotoxicity,4.16,225,"3411630,4009493,9181049,6793881,17483293,2303025,24712692,6716236,7925185,8681892,1635536,25782176,3598879,21351631,21875804,8149357,3004930,24803404,22043548,3725833,12192617,11812525,17335733,135814,12452767,19429380,11322044,2196420,2945004,3774019,23287051,20390258,2234544,9153479,9703469,2839806,7862055,15494386,9200141,27413119,6499361,16049923,15144866,7107352,10098854,11737171,3491762,8529926,6384162,10945841,1682011,12196060,5084996,6626878,5035587,10530675,7824121,26658169,23263804,15329080,16095854,7970203,30086086,2993970,12791180,15210913,19912067,2728015,10094427,6245744,3016269,7108563,7555967,6696821,27332045,11822175,7715759,8573214,1780964,32737897,7407761,17074045,23287317,1003428,26729954,11605780,19043374,7636763,27351944,23565592,2265459,16153667,6825387,21463268,7912481,12609230,17615114,8331559,3808315,2832143,15728437,33835518,12742598,10023798,1296726,20486465,26542247,11093997,29547827,1333652,6125916,25580452,10434712,33206316,20308816,28497312,25466174,20573424,16858951,17225454,20573423,30108708,21648191,31084949,21272614,11735605,21469172,3085769,18603334,27597416,9548821,23676307,31708184,22540392,17826870,10728915,16573841,17481896,15276306,23265873,17572089,22581672,22262939,24412497,19719046,15813358,21930331,19435143,12397622,3950916,17636003,22118828,16190747,21294704,2308142,9438018,20947222,22236471,24177360,20046791,25619635,21120204,15716057,3336019,17763376,16647165,19853976,20927690,17674488,11817174,15687048,25585007,20211511,17337249,18375131,9438023,15050044,12374451,21167624,21455417,19103578,423197,19165382,22037252,17624632,18672318,12128166,18539913,22717240,1495012,22082834,21928710,19674817,18640843,8831764,15652361,21840629,17418452,16843667,21188048,22487180,20618394,21218116,17950496,22727446,18222569,1681105,22050285,17761423,21917466,22466369,17670974,18945337,16139502,21217874,20542603,20416982,19332328,19430525,21431057,21577284,26519928,19025431,20638856,23727537",PTX078
5-Azacytidine,genotoxicity,1.3,30,"24639139,1695571,21143203,21781278,19926393,20674514,30919591,19642975,21163286,21700776,9816056,1380659,27325794,21136232,18172875,19409458,7683337,34115770,11815248,19628630,15890415,24183724,15999467,28324147,2480041,24403269,15103049,16510601,2409441,25159616",PTX099
5-Bromo-2'-deoxyuridine,genotoxicity,2.32,98,"7690881,8545838,6543303,19717638,2505070,12034040,1279358,25499067,8991064,2509900,17581771,3743132,6828033,12452770,6665794,25911309,16621212,6717462,16397848,2209289,12637545,16802149,19671688,17055212,9025090,8578103,12189183,1922142,33999509,3173404,31822012,7285888,31989571,20194422,6529417,3100947,9185996,17306628,11448637,18768699,22665142,20199224,12044546,9268038,17307329,30851126,7281173,14630136,7151225,12792779,18769121,14614190,21870295,24380821,12742503,14562046,17341482,10635989,1881403,21556769,9143481,16023405,1526360,8782434,15201434,3715869,15507380,12011478,21382167,6717476,10333536,24837791,19558368,24623246,18850001,7582851,3982435,12135877,32927807,16137618,7940404,18703420,15220518,21804075,3089772,19802007,21414389,3893787,25416819,17894409,21633925,1800895,16956662,15611093,1493584,15220534,15548639,9928680",PTX106
5-Fluorouracil,cardiotoxicity,4.34,626,"2291460,6546298,31203389,9747818,11419562,24041405,32162823,28283339,10370784,23768465,29582557,7655778,10334527,12058965,2234455,7578376,8422644,18660728,28521972,24299960,26980771,6233441,21127749,11352968,19789694,1637660,16101196,22345889,28324265,2705734,7693420,8233284,31278615,12899501,6230422,21147693,17649788,16369751,3660474,30396014,18317582,2973029,7980224,2347052,9687887,20042972,35341693,2651576,9207869,32174608,9225957,8935192,20308670,21726348,7870005,9816034,9422067,3952818,23393861,9528843,17030546,8085846,9813641,8272153,20668600,12034146,9250550,7780886,8597907,2205312,2675999,17897740,12452452,22186341,31519717,630214,21275498,22773220,1727913,12170449,25783948,15838014,2098095,9538168,6197002,19930599,21277101,8253323,31851385,7183487,21050310,15978800,15899622,30470591,12799623,17343325,9229320,15661550,7812704,20093950,15611524,8260231,2968263,7555374,27498129,34498471,11996484,17436411,10853413,8633257,6548066,8035725,27502729,15933422,12678747,20179805,15328825,1827177,9180391,70620,9389916,10093610,20210725,19779118,24486618,12884648,2044046,21868556,33683181,12899507,18208791,15899625,35599280,16311676,9626797,17380437,35548958,8085212,11251000,3383127,23042307,21577028,3322590,11999096,6354509,35606482,2291457,23019400,8714749,2422710,16350484,34792740,3409458,27034194,25449494,21321041,3902267,7466925,22661994,20529041,22068815,8374883,21163073,20233884,24755457,7596036,15023436,10512173,9365165,11694775,19127237,3815581,6866817,26875134,16154943,15999363,15837983,9669654,3164312,23317531,9126304,1913227,21078249,21208764,16567310,18676329,11734065,2249339,9182022,22755303,2847991,2947159,11157009,14976858,6307186,12402434,3661619,21606423,24309454,3224403,36253013,3319758,9296228,16361558,21705993,24093908,16309273,30862114,19203898,12860162,9374096,32895407,31931649,3984047,15945507,9193323,24917005,34800596,25176229,29803650,10774569,11417246,37018874,21762335,7803534,23363901,22652078,10874764,6514209,2344152,8422597,2085263,8596132,34185243,15033676,11561769,8160100,6820919,10777249,8739080,15153089,12405579,19415535,22649339,7862358,14768404,8595173,3838618,20587042,20529245,20709813,21637324,33537861,17571399,12942200,21160270,35347593,9890539,30121640,6754062,1832341,20071309,9015489,8300889,2519238,15723709,2897433,30633206,20721521,7296556,8955657,36674883,9949273,32164492,2230913,11870533,10477008,30348619,3534581,7079856,11240331,21603868,19309247,8622079,11286477,28190761,17166388,10966000,11205227,15717740,12216937,15977964,25858685,22740819,23582737,16729482,1567171,16866187,6200979,35101590,7954023,3922612,1875232,12422546,9390208,16104623,36753813,10920949,17094405,11140150,19561527,8754326,1786427,19534435,21607046,25158670,2602632,20007921,32372765,8358059,1316201,23812226,24082383,24692679,12771913,32959474,26636535,15952915,29960638,34185773,6506081,14748761,17054249,27622829,2328669,21610170,8697976,15878759,6408998,10629652,11694772,17493091,8630887,19169606,1403060,18203425,3049953,29762143,6595969,3840300,647321,7168016,29038417,16529545,16546863,26701613,3187073,18264205,8453690,11378344,10091793,17254324,23046680,11138464,3859251,22909389,8758800,19202960,30634681,17940499,2660665,18079582,1899489,1346985,29548480,27127440,22701028,19013659,9491136,8471327,3894276,23108952,35126817,18594499,12070449,15994176,8280652,10521060,19936641,2672149,16808550,20106720,12067953,11504378,28536214,36442718,10235688,23583220,1688336,6959564,24867118,2737845,23394482,2509606,33847220,9891497,2580486,8905032,3137469,23091543,16981070,19819776,11345600,21358837,7742593,15272225,10027340,3663962,8512588,3660150,7993841,7704494,22666200,12067140,30927036,7241861,18396651,16352580,16936371,9150898,3245824,11272331,19606213,7828126,23241239,19307737,30668345,7865240,6387802,1993429,17353926,7810505,32266582,6232053,12075751,9063536,17516068,3349416,6990214,19103732,2910423,33930532,7545224,17060812,16418875,29465031,2104099,19693503,2910506,22295205,9778619,25987082,2278719,17636329,26376561,16148021,18285678,10235466,6423805,25671635,17486132,8140566,25919346,10854564,10582438,25935919,27755238,9386863,14564986,2705401,1222391,3275485,11474271,30404764,15855175,16858245,19945181,33247369,7987976,21847410,8007870,12629938,10472346,7749156,6761595,8186172,1642435,17465463,25935793,17624096,9830621,11396359,34503643,26518668,2170140,2346125,30396850,3902215,9307766,23249567,8317911,22812382,18651423,24273046,25487774,12056098,2039705,16697705,18231644,10732745,21218604,11677442,8535936,30531368,9167740,11970749,1580574,24506965,19584743,23027461,12113705,18269775,12801047,14749623,8652238,15477723,29764506,19287123,19863462,25034007,22495699,8233298,11181656,9093724,26482827,8839912,16314622,7343380,386594,18343950,26321502,22964337,32872376,17023784,24035961,25186061,18664656,6539459,8193429,16891866,19002271,3300968,24704391,25038499,3550612,23999848,9307197,17686164,10897216,2083185,29106497,19300240,20683054,21301318,9740078,28353359,8669796,2466960,15231861,36256893,17343330,6385262,33705623,24331191,3938225,638633,35198633,1421694,6548892,19353811,11694788,3208811,7445106,7715910,23102544,23218901,12796019,30832605,25852107,32860674,20056096,4051516,18795667,21126826,12597151,1606078,28127745,35798468,21079148,9459149,35411625,29183892,9380584,7777242,15725158,12592360,18344111,7414712,32762143,31925673,12525522,1671927,20399520,9393755,24558023,31587781",PTX104
5alpha-Dihydrotestosterone,neurotoxicity,-0.54,10,"15943860,31051232,17055174,21335947,21765998,18568364,20880685,28941188,19576964,27754784",PTX125
6-Propyl-2-thiouracil,hepatotoxicity,4.5,76,"17389704,23956101,20575220,6684872,23231846,11144016,23383744,35271661,1806466,24081637,11878166,32223355,7912472,3528517,25384184,31573408,22931300,2723949,28165437,21234410,17078113,12549953,6846026,9177371,15251733,23155684,8876856,34644794,6497900,29722569,20681069,32830568,3569050,21389085,30367912,6897865,21929775,16206173,27561657,17020158,3054039,7640943,6860366,9720771,9252857,6139263,19885811,25086301,23828438,20610609,26486479,9025882,7204554,25747892,15390328,20427502,22332800,8909171,33779553,2523194,6149873,8419095,22820213,22511519,4007783,21928702,25156887,32738035,25279406,9167420,8091264,19483382,7720304,6956652,20707932,20706665",PTX097
6PPD,hepatotoxicity,8.8,1,36716866,PTX203
